iter	RMSE
0	3.165962367
1	3.104828623
2	3.042338287
3	2.987259017
4	2.935577977
5	2.887140261
6	2.837124994
7	2.790841921
8	2.742854666
9	2.706653317
10	2.661982432
11	2.627119299
12	2.58512334
13	2.544876166
14	2.513432148
15	2.473971618
16	2.436574386
17	2.399817753
18	2.370311182
19	2.338550352
20	2.30500241
21	2.27612208
22	2.241322582
23	2.217781114
24	2.188926144
25	2.15876334
26	2.133048112
27	2.103141473
28	2.077937875
29	2.05428328
30	2.029531933
31	2.011261878
32	1.986180211
33	1.963785166
34	1.940760648
35	1.924782773
36	1.906078612
37	1.885628008
38	1.866194584
39	1.846397403
40	1.834409993
41	1.814928402
42	1.798300523
43	1.783363331
44	1.762529802
45	1.747863783
46	1.727081233
47	1.707627874
48	1.688990907
49	1.673594298
50	1.659044938
51	1.648398896
52	1.631369867
53	1.622419219
54	1.605224663
55	1.593209352
56	1.580771047
57	1.566064946
58	1.554830894
59	1.541281888
60	1.529040024
61	1.517640917
62	1.510920277
63	1.498967114
64	1.488972455
65	1.479735885
66	1.469057104
67	1.461356072
68	1.450694442
69	1.441958325
70	1.431685183
71	1.421716568
72	1.415037244
73	1.404927733
74	1.396463395
75	1.388629612
76	1.382069279
77	1.375844606
78	1.369209815
79	1.363072128
80	1.353826285
81	1.344464385
82	1.3386627
83	1.332782486
84	1.32446126
85	1.319831732
86	1.313319411
87	1.307710553
88	1.30217972
89	1.296680941
90	1.291425857
91	1.28916238
92	1.283917618
93	1.276396358
94	1.270263045
95	1.266729969
96	1.262228004
97	1.257452898
98	1.252685255
99	1.248233788
100	1.245169186
101	1.24126385
102	1.235583296
103	1.232372906
104	1.227933727
105	1.225400543
106	1.221448288
107	1.218275694
108	1.214510691
109	1.211149926
110	1.207491298
111	1.20368683
112	1.200338874
113	1.197203122
114	1.191471277
115	1.188242543
116	1.184765442
117	1.181720439
118	1.17907503
119	1.17684484
120	1.173747316
121	1.172461699
122	1.169933955
123	1.166524451
124	1.164433756
125	1.162449314
126	1.160505978
127	1.158482007
128	1.156912542
129	1.155094813
130	1.153214421
131	1.151019691
132	1.149413776
133	1.148054307
134	1.144187253
135	1.141948013
136	1.140743695
137	1.139760132
138	1.136622644
139	1.132242004
140	1.130358908
141	1.128887879
142	1.127388361
143	1.125624414
144	1.123674625
145	1.122309791
146	1.119994486
147	1.118454524
148	1.117644485
149	1.116552478
150	1.115073718
151	1.11388147
152	1.112499616
153	1.110288279
154	1.108532349
155	1.107762518
156	1.106463018
157	1.105722909
158	1.104579308
159	1.103238847
160	1.09994736
161	1.098755927
162	1.097527163
163	1.096509574
164	1.095517819
165	1.09452005
166	1.09167113
167	1.088994945
168	1.08709623
169	1.086367216
170	1.085533101
171	1.08429145
172	1.083672608
173	1.080716559
174	1.080010201
175	1.079264333
176	1.078419941
177	1.077826497
178	1.076794314
179	1.075990699
180	1.074584648
181	1.073226678
182	1.072696783
183	1.071521518
184	1.070659193
185	1.069087726
186	1.068356299
187	1.067447489
188	1.066744722
189	1.065978609
190	1.064230478
191	1.062575994
192	1.060652868
193	1.060078023
194	1.059609603
195	1.057808724
196	1.056764928
197	1.056348912
198	1.055720294
199	1.055094061
200	1.054445669
201	1.053932549
202	1.05175029
203	1.051122922
204	1.049421397
205	1.048899617
206	1.04833905
207	1.047594178
208	1.04583353
209	1.044983299
210	1.04408408
211	1.042277805
212	1.041506943
213	1.040946711
214	1.039415506
215	1.039282718
216	1.038599405
217	1.037601595
218	1.036819742
219	1.035485314
220	1.03492764
221	1.03433158
222	1.032960879
223	1.032236732
224	1.031628267
225	1.030997833
226	1.030318266
227	1.029168371
228	1.028478022
229	1.027870181
230	1.027352124
231	1.025514123
232	1.025015175
233	1.024808637
234	1.023361069
235	1.022373921
236	1.02191437
237	1.021661715
238	1.021143681
239	1.019457628
240	1.017804295
241	1.017583033
242	1.017369547
243	1.016800236
244	1.015431957
245	1.014944541
246	1.013772751
247	1.013154415
248	1.012477866
249	1.011953681
250	1.009657642
251	1.009400819
252	1.008128867
253	1.007699049
254	1.007383822
255	1.007296476
256	1.007103964
257	1.006774146
258	1.005939241
259	1.00584783
260	1.004841825
261	1.004756795
262	1.004429933
263	1.003007899
264	1.0027515
265	1.002165049
266	1.001818316
267	1.001563855
268	1.001481662
269	1.000639182
270	0.9998667338
271	0.9997845436
272	0.9997064905
273	0.9986844659
274	0.9983946669
275	0.9981317616
276	0.9977160001
277	0.9973190089
278	0.9970142059
279	0.9966272137
280	0.9955618417
281	0.995400539
282	0.9952324476
283	0.9950748207
284	0.9939383907
285	0.9936498031
286	0.9933214286
287	0.9924742396
288	0.9921936325
289	0.9919623646
290	0.9909760682
291	0.9908307836
292	0.9907639915
293	0.9902054065
294	0.9896544807
295	0.9894601177
296	0.9893552459
297	0.9885108989
298	0.9881334687
299	0.9879349901
300	0.9876345741
301	0.986841478
302	0.9856061248
303	0.9842803482
304	0.9835606664
305	0.9834701255
306	0.9832165214
307	0.9830139446
308	0.9828863727
309	0.9822843215
310	0.9819631331
311	0.9818447545
312	0.9817870099
313	0.9815402447
314	0.9814784619
315	0.9812990144
316	0.9811873066
317	0.9809484386
318	0.9808945554
319	0.9806635967
320	0.9791170583
321	0.9788465295
322	0.9777233207
323	0.9776357405
324	0.9774127778
325	0.9772245986
326	0.9771181348
327	0.9750257768
328	0.9744858068
329	0.9735490994
330	0.9730232542
331	0.9723654301
332	0.9718783846
333	0.9715851606
334	0.971373791
335	0.970674322
336	0.9705252699
337	0.9703206367
338	0.9701546106
339	0.9699574073
340	0.9698667177
341	0.9687656072
342	0.968571951
343	0.9684947854
344	0.9682188017
345	0.9676563784
346	0.9675767261
